Sr No,Course Name,Announcement,Date Published
1,3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/kti-wkdv-ehv",2024-08-10T03:56:16.095Z
2,3CSE - CSE204 Project 1,"Dear Students,

Upload project proposal PDF copy in this link: https://forms.gle/i3ux7n2BRzR5onyC9

Deadline: Tomorrow",2024-07-26T05:39:58.242Z
3,3CSE - CSE204 Project 1,"Dear all,

Submit your hard copy of project proposal approval review report to your lab teacher by tomorrow.

Thank you.",2024-07-24T09:26:25.325Z
4,3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/ebq-nwjg-pza",2024-07-20T03:53:03.478Z
5,3CSE - CSE204 Project 1,"Dear Students,

Project proposal approval email has been sent. Check your email and follow. Bring hard-copy of project proposal during the approval process.",2024-07-12T07:07:16.552Z
6,3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/rqn-dqzz-gsi",2024-07-06T03:40:17.793Z
7,3CSE - CSE204 Project 1,"Dear Students,

You are requested to finalize the project details, form a group and fill the details in the given link latest by 06/07/2024. 
Fill the details: https://forms.gle/iZxXWVEPZZZMCQV17
Your lab teacher will interact during lab hours on this Saturday (06/07/2024) on submitted data.
In case of any query, you may contact your lab teacher.

Instructions: 
1. Group should be usually of two to four members. It is allowed to create a group from inter-batch.
2. Students must interact with the lab teacher on a regular basis and complete the tasks.",2024-07-02T11:35:44.479Z
8,Certification Course : ML and Data Science,Pre-trained CNN with two approaches.,2024-09-28T05:52:19.678Z
9,Certification Course : ML and Data Science,All participants are requested to join.,2024-09-28T04:02:55.886Z
10,Certification Course : ML and Data Science,"Dear Participants, 

Due to the parents teacher meet at institute, the today's session from 9:30 AM is rescheduled on September 28, 2024, 9:30 AM Onwards. We hope you continue with the learning with great enthusiasm. 

Best Regards, 
Dr. Sanskruti Patel
Dr. Sagar Kavaiya",2024-09-21T03:44:54.685Z
11,Certification Course : ML and Data Science,A code demonstrating of a simple CNN model.,2024-09-14T05:37:58.857Z
12,Certification Course : ML and Data Science,A gentle reminder to join today's class.,2024-09-14T03:57:47.895Z
13,Certification Course : ML and Data Science,"Dear All,

A gentle reminder for tomorrows session at 9:30 AM. ",2024-09-13T10:18:03.981Z
14,Certification Course : ML and Data Science,"Dear Students, 

Please find the attached code and dataset for the exercise purpose. You are requested to do following. 

1. Run the code and prepare the learnings of the code in one page of document. 

Send to us as a part of submission. 

Regards, ",2024-08-31T04:44:24.441Z
15,Certification Course : ML and Data Science,"Dear Participants, 

We hope that you are enjoying the course and having great learning experience. Due to the festival days, and upon several requests, we have updated the week wise schedule and it is attached here. 

Please note that the following dates are holidays
1. August 24, 2024
2. September 07, 2024.

We request you to go through the updated schedule. 

Best Regards, 
Dr. Sanskruti Patel
Dr. Sagar Kavaiya",2024-08-23T03:53:23.087Z
16,Certification Course : ML and Data Science,"Dear Students, 

Please find the code of ANN+PCA attached. 

Regards, ",2024-08-17T05:33:36.392Z
17,Certification Course : ML and Data Science,"Dear All,

Due to persistent problem in Network Connection, we could not completed the demonstration. Therefore, we will have a session again at 3:00 PM today. Please join.",2024-08-10T05:45:02.688Z
18,Certification Course : ML and Data Science,hands-on session files (July 27),2024-07-30T10:29:07.487Z
19,Certification Course : ML and Data Science,"Dear All, 

Please have the hands on for hypothesis. 

Regards, ",2024-07-20T06:44:32.932Z
20,Certification Course : ML and Data Science,"Please find the attached file 1 and file 2 that has been used in today's session. 

Have a great learning. 

Best regards.",2024-07-13T06:38:40.967Z
21,Certification Course : ML and Data Science,"Practice dataset for EDA. 

",2024-07-13T03:50:28.211Z
22,Certification Course : ML and Data Science,Please find the exercise for today's session. ,2024-06-29T06:02:04.734Z
23,CSE202: Microprocessor and Computer Organization,Chapter 5,2024-09-28T08:41:36.813Z
24,CSE202: Microprocessor and Computer Organization,Chapter 4 PPT,2024-09-24T04:40:50.427Z
25,CSE202: Microprocessor and Computer Organization,Previous Year Question papers,2024-09-20T05:39:33.587Z
26,CSE202: Microprocessor and Computer Organization,Practical 7 format,2024-09-13T05:18:47.567Z
27,CSE202: Microprocessor and Computer Organization,"Dear students,
The link For Continous Evaluation Chapter 2  is Here
Time Duration:20 Min.",2024-09-10T06:48:54.496Z
28,CSE202: Microprocessor and Computer Organization,Practical 6 Reference,2024-09-10T05:37:31.491Z
29,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Practical 6 format",2024-09-07T14:29:30.180Z
30,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Chapter 2",2024-09-07T14:26:21.452Z
31,CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA software requires for Practical 6-10.",2024-09-03T03:49:15.709Z
32,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA,
Practical-5 format",2024-08-16T08:37:41.955Z
33,CSE202: Microprocessor and Computer Organization,"Dear students,
Upload your practical continuous evaluation in the given link:

",2024-08-05T09:47:42.163Z
34,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Chapter 3 PPT",2024-08-03T05:24:03.630Z
35,CSE202: Microprocessor and Computer Organization,"Dear students,
Your Practical internal evaluation will be conducted in next week in the respective lab.
Theory Unit wise internal evaluation will be taken on next week for chapter 3 in respective class by subject faculty.

For any doubt contact me. ",2024-08-01T10:34:04.529Z
36,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA of Practical 4.",2024-07-23T04:33:48.713Z
37,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Format of Practical 1,2 & 3.",2024-07-15T10:38:46.247Z
38,CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Practical wise submission Link.
Make sure  it will be counted as practical performance,
Late submission may affect your practical performance
 ",2024-07-11T04:30:40.321Z
39,CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA Chapter 2 part 1",2024-07-11T04:28:09.270Z
40,CSE202: Microprocessor and Computer Organization,"Unit 1 Quiz Link:
",2024-07-08T04:24:53.941Z
41,CSE202: Microprocessor and Computer Organization,"Dear Students,

PFA Practical List",2024-07-06T08:59:08.949Z
42,CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA Chapter 1 PPT",2024-07-03T10:59:42.183Z
43,CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA MPCO  Syallbus",2024-06-26T06:51:51.261Z
44,CSE201 - Java Programming 2024 - 25,"Dear 3CSE1 & 3CSE2 Students,

Kindly enter your online course details and upload the certification or progress report in the given below form link.
The deadline to complete this task is 5/10/2024.

Evaluation of the online course details will be done by the below faculty members:-
3CSE1 - A : - Ms. Krishna Patel
3CSE1 - B : - Ms. Rima Patel
3CSE1 - C : - Ms. Ankita Amaravat
3CSE1 - D : - Ms. Aishwariya Budhrani

3CSE2 - A : - Ms. Rima Patel
3CSE2 - B : - Ms. Ankita Amaravat
3CSE2 - C : - Dr. Chirag Patel
3CSE2 - D : - Ms. Aishwariya Budhrani",2024-09-20T07:37:02.717Z
45,CSE201 - Java Programming 2024 - 25,"Dear 3CSE1 & 3CSE2 Students,
The submission Java Mini Project is approaching. Please ensure that your project is complete and submitted by 30th September,2024 in the given below link. 

Submission Guidelines:


1. One student in a group has to submit the details in the below link by adding other members details.

2. Submit your project files in a compressed folder (.zip or .rar) named in the format: (ProjectTitle).
3. Include all source codes, documentation, and a brief presentation (if applicable).

4. Please ensure that each group consists of a minimum of 1 student and no more than 3 students.

Evaluation of the project will be done by the below faculty members:-

3CSE1 - A : - Ms. Krishna Patel
3CSE1 - B : - Ms. Rima Patel
3CSE1 - C : - Ms. Ankita Amaravat
3CSE1 - D : - Ms. Aishwariya Budhrani



3CSE2 - A : - Ms. Rima Patel
3CSE2 - B : - Ms. Ankita Amaravat
3CSE2 - C : - Dr. Chirag Patel
3CSE2 - D : - Ms. Aishwariya Budhrani",2024-09-20T07:56:32.294Z
46,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE1, 

The continuous evaluation for the Unit -3 & Unit - 4 is scheduled on September 23, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 3 & 4
All questions are compulsory to attend. 
Total Time: 30 minutes",2024-09-20T06:52:22.982Z
47,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find CIE - 3 Marks. 


",2024-09-20T04:56:16.166Z
48,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE1- A Batch, 

Java Mini Project and Online course Evaluation has been scheduled on September 25, 2024. 

All are requested to remain present. 

Thank you. ",2024-09-20T04:43:16.881Z
49,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -4 & Unit - 5 is scheduled on September 26, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 4 & 5
All questions are compulsory to attend. 
Total Time: 30 minutes (for each Evaluation)",2024-09-19T04:41:40.391Z
50,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the Unit - 5 material. 
",2024-09-19T04:51:03.413Z
51,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached material for Unit - 3 & 4 


",2024-09-18T03:31:58.111Z
52,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -3 & Unit - 4 is scheduled on September 19, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 3 & 4 
All questions are compulsory to attend. 
Total Time: 30 minutes (for each Evaluation)",2024-09-12T04:52:26.206Z
53,CSE201 - Java Programming 2024 - 25,"Dear Students, 
The following are the links for the pratical problems in Hacker rank: 

1: -Java Inheritance I : https://www.hackerrank.com/challenges/java-inheritance-1/problem?isFullScreen=true
2: - Java Inheritance II : https://www.hackerrank.com/challenges/java-inheritance-2/problem?isFullScreen=true
3: - java Abstract Class : https://www.hackerrank.com/challenges/java-abstract-class/problem?isFullScreen=true
4:- Java Interface: https://www.hackerrank.com/challenges/java-interface/problem?isFullScreen=true
5:- Java Method Overriding : https://www.hackerrank.com/challenges/java-method-overriding/problem?isFullScreen=true
6:- Java Method Overriding 2 (Super Keyword) : https://www.hackerrank.com/challenges/java-method-overriding-2-super-keyword/problem?isFullScreen=true
7:- Java Exception Handling: https://www.hackerrank.com/challenges/java-exception-handling/problem?isFullScreen=true
8:- Java Exception Handling : https://www.hackerrank.com/challenges/java-exception-handling-try-catch/problem?isFullScreen=true",2024-09-03T03:48:22.469Z
54,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached material. 

",2024-08-31T10:22:28.153Z
55,CSE201 - Java Programming 2024 - 25,"Dear students,

Try this definition ...


Create a class Salad -Method: void SaladBowl (), that shows the all the content of salad, instance variables ( int no. of salad ordered), create a super class Vegetable of Salad-Instance Variables: String vegName, int vegCount, Method: getVegName(), getVegCount().
Create interface Fruits- getFruits(); Interface Sauces- getSauces();, Interface Dressing- getDressings.
Salad is the subclass of Vegetable and implements all three interfaces, create object of Salad class and call all the methods of Salad and Vegetable class as well implement methods of all three interface
Output:
No. of Salads ordered: 2
Name of Vegetable: cucumber
Vegetable count : 2
Name of Vegetable : Cabbage
Vegetable count: 1
Name of Vegetable: tomato
Vegetable count : 4
Fruits: Grapes
Sauces: Mayonise
Dressings: Russian",2024-08-12T10:28:34.880Z
