Course Name,Announcement,Assignee
3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/kti-wkdv-ehv",Unknown
3CSE - CSE204 Project 1,"Dear Students,

Upload project proposal PDF copy in this link: https://forms.gle/i3ux7n2BRzR5onyC9

Deadline: Tomorrow",Unknown
3CSE - CSE204 Project 1,"Dear all,

Submit your hard copy of project proposal approval review report to your lab teacher by tomorrow.

Thank you.",Unknown
3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/ebq-nwjg-pza",Unknown
3CSE - CSE204 Project 1,"Dear Students,

Project proposal approval email has been sent. Check your email and follow. Bring hard-copy of project proposal during the approval process.",Unknown
3CSE - CSE204 Project 1,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/rqn-dqzz-gsi",Unknown
3CSE - CSE204 Project 1,"Dear Students,

You are requested to finalize the project details, form a group and fill the details in the given link latest by 06/07/2024. 
Fill the details: https://forms.gle/iZxXWVEPZZZMCQV17
Your lab teacher will interact during lab hours on this Saturday (06/07/2024) on submitted data.
In case of any query, you may contact your lab teacher.

Instructions: 
1. Group should be usually of two to four members. It is allowed to create a group from inter-batch.
2. Students must interact with the lab teacher on a regular basis and complete the tasks.",Unknown
Certification Course : ML and Data Science,Pre-trained CNN with two approaches.,Unknown
Certification Course : ML and Data Science,All participants are requested to join.,Unknown
Certification Course : ML and Data Science,"Dear Participants, 

Due to the parents teacher meet at institute, the today's session from 9:30 AM is rescheduled on September 28, 2024, 9:30 AM Onwards. We hope you continue with the learning with great enthusiasm. 

Best Regards, 
Dr. Sanskruti Patel
Dr. Sagar Kavaiya",Unknown
Certification Course : ML and Data Science,A code demonstrating of a simple CNN model.,Unknown
Certification Course : ML and Data Science,A gentle reminder to join today's class.,Unknown
Certification Course : ML and Data Science,"Dear All,

A gentle reminder for tomorrows session at 9:30 AM. ",Unknown
Certification Course : ML and Data Science,"Dear Students, 

Please find the attached code and dataset for the exercise purpose. You are requested to do following. 

1. Run the code and prepare the learnings of the code in one page of document. 

Send to us as a part of submission. 

Regards, ",Unknown
Certification Course : ML and Data Science,"Dear Participants, 

We hope that you are enjoying the course and having great learning experience. Due to the festival days, and upon several requests, we have updated the week wise schedule and it is attached here. 

Please note that the following dates are holidays
1. August 24, 2024
2. September 07, 2024.

We request you to go through the updated schedule. 

Best Regards, 
Dr. Sanskruti Patel
Dr. Sagar Kavaiya",Unknown
Certification Course : ML and Data Science,"Dear Students, 

Please find the code of ANN+PCA attached. 

Regards, ",Unknown
Certification Course : ML and Data Science,"Dear All,

Due to persistent problem in Network Connection, we could not completed the demonstration. Therefore, we will have a session again at 3:00 PM today. Please join.",Unknown
Certification Course : ML and Data Science,hands-on session files (July 27),Unknown
Certification Course : ML and Data Science,"Dear All, 

Please have the hands on for hypothesis. 

Regards, ",Unknown
Certification Course : ML and Data Science,"Please find the attached file 1 and file 2 that has been used in today's session. 

Have a great learning. 

Best regards.",Unknown
Certification Course : ML and Data Science,"Practice dataset for EDA. 

",Unknown
Certification Course : ML and Data Science,Please find the exercise for today's session. ,Unknown
CSE202: Microprocessor and Computer Organization,Chapter 5,Unknown
CSE202: Microprocessor and Computer Organization,Chapter 4 PPT,Unknown
CSE202: Microprocessor and Computer Organization,Previous Year Question papers,Unknown
CSE202: Microprocessor and Computer Organization,Practical 7 format,Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
The link For Continous Evaluation Chapter 2  is Here
Time Duration:20 Min.",Unknown
CSE202: Microprocessor and Computer Organization,Practical 6 Reference,Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Practical 6 format",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Chapter 2",Unknown
CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA software requires for Practical 6-10.",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA,
Practical-5 format",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
Upload your practical continuous evaluation in the given link:

",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Chapter 3 PPT",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
Your Practical internal evaluation will be conducted in next week in the respective lab.
Theory Unit wise internal evaluation will be taken on next week for chapter 3 in respective class by subject faculty.

For any doubt contact me. ",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA of Practical 4.",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Format of Practical 1,2 & 3.",Unknown
CSE202: Microprocessor and Computer Organization,"Dear students,
PFA Practical wise submission Link.
Make sure  it will be counted as practical performance,
Late submission may affect your practical performance
 ",Unknown
CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA Chapter 2 part 1",Unknown
CSE202: Microprocessor and Computer Organization,"Unit 1 Quiz Link:
",Unknown
CSE202: Microprocessor and Computer Organization,"Dear Students,

PFA Practical List",Unknown
CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA Chapter 1 PPT",Unknown
CSE202: Microprocessor and Computer Organization,"Dear Students,
PFA MPCO  Syallbus",Unknown
CSE201 - Java Programming 2024 - 25,"Dear 3CSE1 & 3CSE2 Students,

Kindly enter your online course details and upload the certification or progress report in the given below form link.
The deadline to complete this task is 5/10/2024.

Evaluation of the online course details will be done by the below faculty members:-
3CSE1 - A : - Ms. Krishna Patel
3CSE1 - B : - Ms. Rima Patel
3CSE1 - C : - Ms. Ankita Amaravat
3CSE1 - D : - Ms. Aishwariya Budhrani

3CSE2 - A : - Ms. Rima Patel
3CSE2 - B : - Ms. Ankita Amaravat
3CSE2 - C : - Dr. Chirag Patel
3CSE2 - D : - Ms. Aishwariya Budhrani",Unknown
CSE201 - Java Programming 2024 - 25,"Dear 3CSE1 & 3CSE2 Students,
The submission Java Mini Project is approaching. Please ensure that your project is complete and submitted by 30th September,2024 in the given below link. 

Submission Guidelines:


1. One student in a group has to submit the details in the below link by adding other members details.

2. Submit your project files in a compressed folder (.zip or .rar) named in the format: (ProjectTitle).
3. Include all source codes, documentation, and a brief presentation (if applicable).

4. Please ensure that each group consists of a minimum of 1 student and no more than 3 students.

Evaluation of the project will be done by the below faculty members:-

3CSE1 - A : - Ms. Krishna Patel
3CSE1 - B : - Ms. Rima Patel
3CSE1 - C : - Ms. Ankita Amaravat
3CSE1 - D : - Ms. Aishwariya Budhrani



3CSE2 - A : - Ms. Rima Patel
3CSE2 - B : - Ms. Ankita Amaravat
3CSE2 - C : - Dr. Chirag Patel
3CSE2 - D : - Ms. Aishwariya Budhrani",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE1, 

The continuous evaluation for the Unit -3 & Unit - 4 is scheduled on September 23, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 3 & 4
All questions are compulsory to attend. 
Total Time: 30 minutes",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find CIE - 3 Marks. 


",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE1- A Batch, 

Java Mini Project and Online course Evaluation has been scheduled on September 25, 2024. 

All are requested to remain present. 

Thank you. ",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -4 & Unit - 5 is scheduled on September 26, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 4 & 5
All questions are compulsory to attend. 
Total Time: 30 minutes (for each Evaluation)",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the Unit - 5 material. 
",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached material for Unit - 3 & 4 


",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -3 & Unit - 4 is scheduled on September 19, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 3 & 4 
All questions are compulsory to attend. 
Total Time: 30 minutes (for each Evaluation)",Unknown
