Sr No,Course Name,task label,Title,Date Published,Deadline,Batch1,Batch2,Batch3,Batch4,ClassA,ClassB,Year
1,Certification Course : ML and Data Science,Assignment,Week 2 Exercise ,2024-07-05T17:00:56.703Z,No deadline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CSE201 - Java Programming 2024 - 25,Assignment,3CSE1 Continuous Evaluation for Unit - 1,2024-07-08T03:51:41.424Z,No deadline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,2CSE1 -C Students (Internal Practical Examination),2024-04-09T03:53:06.354Z,"{'year': 2024, 'month': 4, 'day': 30}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,"Submission of 
Practical -11 Aim:- Create a C++ code to take employee experience to represent as floating point value.
Practical - 12 Aim:- Develop a C++ program for CHARUSAT students marksheet generator (practical 1) using class. 
Practical - 13 Aim:- Update the CHARUSAT employee system (practical 8) as per given class diagram.
Practical - 14 Aim:- Develop a C++ program for library management system. 
Practical - 15 Aim:- Develop a C++ program for amazon product as per given class diagram. 
Practical - 16 Aim:- Update the TATA motors system (practical 3) to get input from the file. ",2024-04-26T08:29:39.114Z,"{'year': 2024, 'month': 5, 'day': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Dear 2CSE2 - B and 2CSE2 -C Students (Internal Practical Examination),2024-04-08T04:56:12.481Z,"{'year': 2024, 'month': 4, 'day': 8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Assignment CE144,2024-04-07T10:58:27.573Z,"{'year': 2024, 'month': 4, 'day': 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -10 Aim:- Create a C++ code to take floating point number and assign to employee experience.,2024-04-02T09:06:15.371Z,"{'year': 2024, 'month': 4, 'day': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -9 Aim:- Create a C++ code for millimeter and centimeter measurement converter.,2024-04-02T09:04:22.727Z,"{'year': 2024, 'month': 4, 'day': 18}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -8 Aim:- Extend the functionality of CHARUSAT employee system (practical 6) to manage two type of employee details teaching and non-teaching employee.,2024-03-27T04:31:22.387Z,"{'year': 2024, 'month': 4, 'day': 15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -7 Aim:- Create a C++ program to perform simple mathematic operations of complex number. ,2024-03-27T04:30:33.582Z,"{'year': 2024, 'month': 4, 'day': 10}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -6 Aim:- Extend the functionality of CHARUSAT employee system (practical 2) to retrieve the average experience of the CHARUSAT employees.,2024-03-27T04:28:51.099Z,"{'year': 2024, 'month': 4, 'day': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -5 Aim:- Develop a system to calculate the area of circle.,2024-03-11T04:36:42.475Z,"{'year': 2024, 'month': 3, 'day': 18}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -4 Aim:- Develop a system to calculate the area of a shape.,2024-02-21T03:58:03.773Z,"{'year': 2024, 'month': 3, 'day': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -3 Aim:- Create a car data management system for TATA motors using C++.,2024-02-21T03:56:30.640Z,"{'year': 2024, 'month': 2, 'day': 27}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -2 Aim:- Develop a C++ program for Employee details generator.,2024-02-12T03:48:40.529Z,"{'year': 2024, 'month': 2, 'day': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment,Submission of Practical -1 Aim:- Develop a C++ program for CHARUSAT student marksheet generator.,2024-02-02T05:09:43.159Z,"{'year': 2024, 'month': 2, 'day': 17}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,DCSE-1 ES 1st year_2023-24,Assignment,DCSE1_MCQ Test Environmental Science,2024-03-28T07:56:49.555Z,"{'year': 2024, 'month': 3, 'day': 30}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,DCSE-1 ES 1st year_2023-24,Assignment,PPT submission,2024-02-16T03:58:05.784Z,No deadline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,DCSE-1 ES 1st year_2023-24,Assignment,Open learn certificate course ,2024-02-03T08:09:50.257Z,No deadline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3CSE - CSE204 Project 1,Announcement,"Dear Students,

Your third review is planned from 07/10/2024 to 09/10/2024.
Keep ready your project.
Evaluators are same which you have given review-2.
Kindly take time before 7th Oct and meet accordingly. 

Thank you.",2024-09-30T11:34:26.113Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3CSE - CSE204 Project 1,Announcement,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/kti-wkdv-ehv",2024-08-10T03:56:16.095Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3CSE - CSE204 Project 1,Announcement,"Dear Students,

Upload project proposal PDF copy in this link: https://forms.gle/i3ux7n2BRzR5onyC9

Deadline: Tomorrow",2024-07-26T05:39:58.242Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3CSE - CSE204 Project 1,Announcement,"Dear all,

Submit your hard copy of project proposal approval review report to your lab teacher by tomorrow.

Thank you.",2024-07-24T09:26:25.325Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3CSE - CSE204 Project 1,Announcement,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/ebq-nwjg-pza",2024-07-20T03:53:03.478Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3CSE - CSE204 Project 1,Announcement,"Dear Students,

Project proposal approval email has been sent. Check your email and follow. Bring hard-copy of project proposal during the approval process.",2024-07-12T07:07:16.552Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,3CSE - CSE204 Project 1,Announcement,"Dear 3CSE-Div:2, Batch C students,

Join: https://meet.google.com/rqn-dqzz-gsi",2024-07-06T03:40:17.793Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3CSE - CSE204 Project 1,Announcement,"Dear Students,

You are requested to finalize the project details, form a group and fill the details in the given link latest by 06/07/2024. 
Fill the details: https://forms.gle/iZxXWVEPZZZMCQV17
Your lab teacher will interact during lab hours on this Saturday (06/07/2024) on submitted data.
In case of any query, you may contact your lab teacher.

Instructions: 
1. Group should be usually of two to four members. It is allowed to create a group from inter-batch.
2. Students must interact with the lab teacher on a regular basis and complete the tasks.",2024-07-02T11:35:44.479Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Certification Course : ML and Data Science,Announcement,Pre-trained CNN with two approaches.,2024-09-28T05:52:19.678Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Certification Course : ML and Data Science,Announcement,All participants are requested to join.,2024-09-28T04:02:55.886Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Certification Course : ML and Data Science,Announcement,"Dear Participants, 

Due to the parents teacher meet at institute, the today's session from 9:30 AM is rescheduled on September 28, 2024, 9:30 AM Onwards. We hope you continue with the learning with great enthusiasm. 

Best Regards, 
Dr. Sanskruti Patel
Dr. Sagar Kavaiya",2024-09-21T03:44:54.685Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Certification Course : ML and Data Science,Announcement,A code demonstrating of a simple CNN model.,2024-09-14T05:37:58.857Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Certification Course : ML and Data Science,Announcement,A gentle reminder to join today's class.,2024-09-14T03:57:47.895Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Certification Course : ML and Data Science,Announcement,"Dear All,

A gentle reminder for tomorrows session at 9:30 AM. ",2024-09-13T10:18:03.981Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
